song_artist,lyric,ID,valence,energy,artist_rtn,song_rtn
Hurt_Johnny Cash,NA,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,I hurt myself today,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,To see if I still feel,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,I focus on the pain,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,The only thing that's real,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,The needle tears a hole,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,The old familiar sting,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,Try to kill it all away,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,But I remember everything,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,What have I become,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,My sweetest friend?,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,Everyone I know,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,Goes away in the end,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,And you could have it all,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,My empire of dirt,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,I will let you down,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,I will make you hurt,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,I wear this crown of thorns,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,Upon my liar's chair,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,Full of broken thoughts,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,I cannot repair,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,Beneath the stains of time,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,The feelings disappear,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,You are someone else,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,I am still right here,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,What have I become,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,My sweetest friend?,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,Everyone I know,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,Goes away in the end,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,And you could have it all,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,My empire of dirt,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,I will let you down,1,0.163,0.392,Johnny Cash,Hurt
Hurt_Johnny Cash,I will make you hurt,1,0.163,0.392,Johnny Cash,Hurt
